symptome_normalise;synonymes
céphalée;"mal de tête; mal au crâne; migraine"
pyrosis;"brûlures d'estomac; remontées acides; reflux"
epistaxis;"saignement de nez; nez qui saigne; hémorragie nasale"
toux;"toux; toux sèche; toux grasse"
douleur abdominale;"mal de ventre; douleur au ventre; crampes abdominales"
fièvre;"température élevée; montée de fièvre; avoir de la fièvre"
fatigue;"épuisement; coup de barre; être très fatigué"
nausée;"envie de vomir; mal au cœur; nausée"
vertige;"avoir des vertiges; tête qui tourne; étourdissement"
dyspnée;"essoufflement; difficulté à respirer; souffle court"
arthralgie;"douleur articulaire; mal aux articulations; arthrite"
érythème;"rougeur; éruption cutanée; plaques rouges"
dysphagie;"difficulté à avaler; gêne en avalant; douleur en avalant"
myalgie;"douleur musculaire; courbatures; muscles endoloris"
palpitations;"battements de cœur rapides; cœur qui bat fort; arythmie"
hyperhidrose;"transpiration excessive; sueurs abondantes; sueurs nocturnes"
