symptome,causes_possibles,facteurs_risque
mal de tête,"migraine, tension, sinusite","stress, déshydratation, fatigue"
toux,"rhume, bronchite, asthme","tabac, pollution, allergènes"
douleur abdominale,"gastro-entérite, ulcère, colique","alimentation, stress, infections"
fièvre,"infection, grippe, inflammation","exposition aux virus, immunodéficience, maladies chroniques"
fatigue,"anémie, dépression, troubles du sommeil","stress, manque de sommeil, alimentation"
nausée,"gastro-entérite, grossesse, intoxication alimentaire","alimentation, infections, médicaments"
vertige,"troubles de l'oreille interne, hypotension, anémie","déshydratation, changements de position, médicaments"
douleur thoracique,"angine, infarctus, reflux gastro-œsophagien","tabac, hypertension, obésité"
essoufflement,"asthme, insuffisance cardiaque, embolie pulmonaire","tabac, sédentarité, maladies chroniques"
douleurs articulaires,"arthrite, tendinite, bursite","âge, surpoids, surutilisation"
éruption cutanée,"allergie, dermatite, infection","contact avec allergènes, stress, chaleur"
fièvre,"infection, grippe, inflammation","exposition aux virus, immunodéficience, maladies chroniques"
maux de gorge,"pharyngite, angine, allergies","tabac, pollution, infection virale"
rhinite,"rhume, allergies, sinusite","allergènes, infections virales, pollution"
troubles du sommeil,"insomnie, apnée du sommeil, stress","stress, caféine, mauvaise hygiène de sommeil"
perte d'appétit,"dépression, infections, troubles digestifs","stress, médicaments, maladies chroniques"
douleurs musculaires,"grippe, effort physique, fibromyalgie","stress, surmenage, infections virales"
palpitations,"stress, anxiété, troubles cardiaques","caféine, tabac, maladies cardiaques"
sueurs nocturnes,"infection, ménopause, hypoglycémie","stress, température ambiante élevée, infections"
